visual cubes paper lozenge paperrev flagssub general paragrap sentence wordc wordm add code counting straight wordr numberr figurer object numberf figurew
23 19 13 4 13 25 46 10 17 22 10 69 65 82 156 173 91 96 8 2 10
33 22 12 17 20 37 43 8 17 30 10 65 60 98 195 174 81 106 9 15 17
34 24 14 22 19 40 36 11 19 27 19 50 49 86 228 168 84 101 1 7 16
29 23 12 9 11 44 38 9 19 25 11 114 59 103 144 130 84 101 10 15 14
16 25 11 10 10 28 51 8 25 28 24 112 54 122 160 184 98 99 9 9 15
30 25 12 20 16 42 42 10 23 28 18 94 84 113 201 188 86 116 10 10 16
36 33 19 36 20 48 69 17 25 42 41 129 96 139 333 192 95 118 16 19 20
28 25 10 9 9 28 35 10 18 29 11 96 83 95 174 168 97 113 5 6 16
30 25 15 11 17 38 32 11 21 35 8 103 67 114 197 168 84 107 6 4 7
20 25 13 6 12 25 39 9 21 27 16 89 49 101 178 181 74 97 7 9 15
27 26 13 6 17 37 27 10 16 25 13 88 35 107 137 187 95 115 7 7 15
32 21 16 8 10 43 27 1 7 29 11 103 62 136 154 173 100 106 3 18 4
38 31 18 12 17 47 29 10 11 30 14 83 57 108 201 181 90 114 9 8 17
17 21 7 6 8 23 35 5 10 11 10 99 65 87 147 166 94 90 10 6 14
34 28 20 24 23 37 56 14 22 29 26 49 34 84 171 169 96 105 4 14 17
25 31 12 18 17 24 37 7 12 18 11 65 53 80 125 186 97 113 9 8 18
33 31 12 30 18 46 48 11 23 29 18 66 54 113 186 174 86 111 10 12 9
40 23 15 20 12 45 65 10 23 23 35 72 86 104 222 174 88 102 7 11 18
30 22 13 20 18 28 49 8 17 26 20 95 66 110 161 188 90 94 5 11 17
36 28 19 22 19 44 59 13 24 33 36 82 79 103 205 193 98 117 17 14 20
24 16 16 14 12 28 56 5 17 27 11 106 49 80 118 164 84 92 6 9 13
40 26 17 26 23 43 56 13 24 39 25 88 69 121 225 191 95 105 11 16 18
30 24 16 19 16 38 50 14 26 28 24 112 69 115 185 184 87 87 9 8 19
42 27 17 27 20 41 25 7 13 17 4 126 115 200 236 198 94 116 21 19 20
33 27 13 16 15 35 29 8 17 29 13 68 63 116 219 159 84 104 6 8 13
32 22 12 15 11 24 39 9 20 26 17 74 79 118 191 180 79 93 3 7 14
31 21 13 5 16 37 55 13 19 26 19 96 87 121 180 162 79 100 1 2 14
27 23 11 4 12 33 24 9 11 24 7 55 68 118 178 173 92 102 3 11 14
31 23 13 11 18 40 44 4 16 30 16 81 60 128 189 166 89 99 1 8 18
31 34 13 3 17 22 49 9 19 26 17 51 88 92 182 179 91 100 2 7 19
17 30 14 13 18 33 46 9 17 23 13 52 53 94 143 165 77 94 2 10 17
30 20 14 13 16 35 51 9 20 30 21 108 68 113 180 181 90 111 9 8 19
28 19 15 8 15 31 33 9 14 27 20 81 68 116 159 181 91 98 8 6 15
19 22 14 8 17 22 18 5 12 21 4 50 53 72 162 178 89 100 3 4 12
28 20 12 14 18 32 31 8 15 30 8 100 66 144 205 156 74 101 6 12 16
38 25 13 13 18 40 41 9 23 31 15 56 67 130 198 178 96 96 8 9 17
34 28 14 10 15 28 48 9 22 28 20 81 76 96 199 171 88 101 2 9 17
18 22 9 5 12 23 20 2 4 10 2 30 19 61 112 156 85 90 3 5 6
16 20 12 8 16 33 42 6 18 35 13 93 73 111 185 167 81 88 3 5 18
18 30 13 17 17 41 52 19 24 36 33 92 83 108 148 175 101 103 9 3 14
32 21 16 9 19 41 63 15 20 32 25 95 77 92 178 178 90 105 12 10 14
34 21 15 9 17 48 47 9 23 24 24 58 31 91 173 159 76 101 1 3 15
21 22 15 8 13 43 29 9 12 24 8 65 67 84 137 186 80 105 0 4 14
28 20 14 14 16 40 37 8 18 29 10 61 59 100 214 189 87 100 4 4 13
39 24 14 25 16 39 41 14 17 24 11 82 70 104 244 179 92 103 8 4 20
32 26 14 10 14 35 47 11 23 27 23 62 39 83 143 173 90 104 7 7 20
28 24 10 8 12 38 20 6 10 15 10 61 65 77 159 175 73 103 7 10 10
